Product Name,Description,Image Link,Price,Rating,Store
Xiaomi Redmi Note 15 (6/128 GB) | Baterai besar 6000mAh [Xiaomi Official Store],,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/bcd33d3eb899492bbadc29ff12a1b90e~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=qpczLL9BnSyna12zbCKVdPjLukY%3D&x-signature-webp=7ckjefz35S%2BX%2F7JrtK8zsksxEPg%3D,Rp2.833.950,5.0,Xiaomi Indonesia
itel City 200 NFC IP65 | 6.78” 120Hz Display | 50MP Camera | 5200mAh 18W Fast Charge,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e9beb70323b24a13ae6c339603b8ea79~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=UIHeVfC9xrImyFoxpYe1lP6%2BQ8I%3D&x-signature-webp=SGjw4sDwsWJ7XnfcMGM6EjvGXQI%3D,Rp1.725.000,4.9,Itel Official Store
"Moto G06 Power 128GB RAMBoost 12GB - 6.88"" - 7000mAh - 50MP Pro Mode - DolbyStereo - GorillaGlass3 IP64 - WaterTouch - NFC - Pantone Vegan Leather - Free Charger & Transparent Case",,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/0c6c486dbd8c4c7faa414a611e185de4~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=PutckFKbR%2FxFCXHbLpXddbXwCA0%3D&x-signature-webp=jbuAQiurWboOtW8Nr6fIjncWhRo%3D,Rp2.025.000,4.9,Motorola Indonesia
Redmi Note 15 5G 8/256GB 12/512GB | 4G 8/128GB Garansi Resmi Xiaomi Indonesia,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/4e2bf315286d41859002498377ac5478~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=cawMKq5sKQ5Wqn6J2Upv7dsSVpU%3D&x-signature-webp=7Rv52vo1FBqJRUI82UujfujLJZc%3D,Rp3.030.000,5.0,Digitech Mall
[ RESMI ] Apple iPhone 17 256GB 512GBGaransi Resmi,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/07c4ea89ebf14501b87a0ffab39ea6db~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=x6ztKpMS1E6UE8tS5PieFCf3KPE%3D&x-signature-webp=WfBk3SQ7PeoHzDwmUPjTOV%2F9XpU%3D,Rp18.239.000,4.9,Digitech Mall
Samsung Galaxy A56 5G RAM 8/256GB & 12/256GB Resmi SEIN Garansi Indonesia,,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/01d312af11d44436ade1d08f102069c9~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=VFoMgx4RBJWnuLeqvzGf8aWa8EA%3D&x-signature-webp=m9J3z1L1AatmH7MDtyLrzDWoucg%3D,Rp6.187.000,5.0,Digitalisme Store
Xiaomi Redmi 15C 8/256GB 8/128GB Garansi Resmi 1 Tahun,,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/6936f794d3154de08dcdf54a8431fee3~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=0MlAzmLbfcO%2Fr3NYuIYDxuiaE8c%3D&x-signature-webp=tJzSklLQpmeIvAXygHhH4zf5%2BgA%3D,Rp2.186.000,5.0,Distributorponselshop
Infinix Note Edge 5G+ 8/256GB - Up to 16GB Extended RAM - Dimensity 7100 5G - 6.78” 3D Curved Amoled - 50MP - 6500 mAh - NFC,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/516882a1d96b48d98dfb4223ba5f3f79~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=mbOLpAOISfvWtVryrj8X6uQwLx8%3D&x-signature-webp=iRUq%2Bh4a4ck87o%2FGCUxany%2FCl70%3D,Rp3.799.000,5.0,Infinix Indonesia
[SPECIAL PRICE] itel City 200 NFC IP65 | 6.78” 120Hz Display | 50MP Camera | 5200mAh 18W Fast Charge,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e9beb70323b24a13ae6c339603b8ea79~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=UIHeVfC9xrImyFoxpYe1lP6%2BQ8I%3D&x-signature-webp=SGjw4sDwsWJ7XnfcMGM6EjvGXQI%3D,Rp1.724.000,4.9,Itel Official Store
[LIVE PRODUCT] ZTE NUBIA A36 4GB/64 GARANSI RESMI - SMARTPHONE/PONSEL,,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/27164e45a69d401ea3fa512a9ce476d9~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1779178566&x-signature=7UluMfUdcjsmn0ypkWOMrLXs9LQ%3D&x-signature-webp=k%2BA1N0VLglDlRZsCms%2Fu3ANlHLQ%3D,Rp1.624.000,4.9,Mahkota Accessories
